	sequences per sample	iteration	s934.8	w1116.2	s934.7	s1116.1 	s934.3	s1116.8	w1274.8	w1274.4	h1600.5	w1204.1	w1274.1	w1204.6	h1468.1	w1204.7	w1116.8	w1116.5	w1274.5	h1468.6	h1468.7	w1204.2	h1468.4	s800.6	s934.1	s934.5	s934.6	s1116.4	w1274.2	w1274.7	w1204.8	s1116.2	s1024.6	s1024.4	w1116.7	w1204.5	h1600.6	h1468.5	w1116.3	h1468.2	s800.3	s800.5	s1116.7	s934.2	s1024.2	w1116.1	s1024.8	s1116.3	s1116.5	s1024.5	s800.1	s800.8	s800.4	s934.4	s800.7	s800.2	s1024.1	h1600.7	h1600.1	h1600.2	w1204.3	h1600.4	h1468.3	w1274.6	w1116.6	h1468.8	w1116.4	s1116.6	s1024.7	w1204.4	s1024.3
alpha_rarefaction_448_3.biom	448	3	408.6774194	853.09375	511.0909091	616.7	532.2777778	650.3170732	354.6190476	439.2432432	832.1351351	468.24	550.5882353	423.46875	482.3030303	490.3030303	676.6341463	736.7741935	484	590	408.2777778	533.8139535	363.5	589.2439024	788.7837838	1015.025	507.71875	676.0384615	829	506.6097561	501.516129	422.6	881.2222222	838.6176471	599.5	599.75	456.44	1132.783784	297.8378378	551.5	278	419	588.1935484	556.2068966	570.7	754.3	535.8695652	666.04	416.0333333	486.037037	432.1875	537.5625	409.0357143	555.6363636	422.9166667	282.8235294	360.0285714	619.8571429	341.3846154	678.6764706	435.2	586.1764706	601.5	411.5	414.7142857	662.2173913	439.2857143	578.0555556	274.2222222	468.0434783	450.5454545
alpha_rarefaction_448_4.biom	448	4	497.1363636	866.6206897	565.2173913	416	733.7741935	606	492.8823529	413.75	873.46875	476.5	417.65	420.1034483	414.6764706	597.6666667	721.6666667	568.15	378.5	436.5172414	617.5	674.7777778	509.0625	668.0857143	707.15	643.0625	607.8235294	621.5	755.3658537	653.1612903	448.0967742	490.4545455	822.4444444	753.5	692.8695652	717.78125	537.2727273	1070.181818	433	551.037037	305.2	471.3225806	653.7142857	531.3870968	639.6764706	439.0333333	526.9655172	706.84	523.6666667	422	433	455.625	421.2173913	517.6666667	435.0333333	382.9565217	520.375	693.1666667	493.137931	661.5	438.2857143	611.5172414	558.6	368.7575758	421.75	588.4	426.75	518	310.1935484	345.1304348	529.6071429
alpha_rarefaction_448_5.biom	448	5	565.875	831	586.3333333	520.0588235	668.4516129	533.0769231	353.125	412.1395349	699.45	373.3571429	507.125	428.3125	487.037037	729.8	832	590.2439024	374.7142857	525.037037	657	603.7631579	635.9545455	737.7741935	626.2272727	897.1707317	548.6764706	700.1176471	858.125	582.3225806	510.4375	565.3703704	807.9642857	828.2631579	503.71875	594.7941176	474.7567568	840.097561	370	578.7142857	321	462.0434783	488.4516129	486.1666667	899.4545455	448.2	526.037037	537.6071429	417.46875	421.12	491.40625	350.8965517	401.875	436.75	511.6666667	323.9032258	445.12	479.9032258	423.0909091	725.3636364	384.1071429	410.8857143	693	445.125	501.3333333	435	442.0909091	529.1666667	335.125	424.8823529	630.55
alpha_rarefaction_448_6.biom	448	6	402.3333333	989.8857143	421.25	565.1612903	628.0967742	635.5	443.8947368	663.1153846	623.1276596	513.9565217	469.4	598.1363636	494.4642857	526.2413793	639.5609756	649.3170732	556.0769231	446.8888889	475.4166667	760.2142857	419	867.1071429	797.5	962.8837209	578.625	677.625	910	547	440.1818182	477.5	643	762.525	661.25	763.6774194	518.1	1101.676471	444.5172414	622.3703704	493.0526316	433.1034483	526.1111111	636.4333333	630.9411765	397.037037	562.2173913	543.6764706	508.2222222	562.64	568.12	418	438.375	652.0416667	575.8571429	321.2352941	565.9130435	488.4516129	466.4444444	711.6578947	585.0555556	508.71875	565	615.25	362.9655172	468.8846154	459.7727273	385	309.0967742	527	517.375
alpha_rarefaction_448_7.biom	448	7	622.5263158	718.3846154	350.3829787	633.0909091	612.59375	788.037037	404.1818182	569	839.5263158	632.2142857	323.7307692	565.2916667	576.037037	584.3225806	793.3636364	542.7727273	370	592.8	489.0833333	637.3846154	458.2413793	736.28125	980.7	925.0238095	596.0967742	1030.041667	827.8857143	514.2857143	503.5555556	524.3870968	554.3947368	909	618.1153846	639.8	577.8947368	746.75	504.516129	573.7142857	302.6521739	465	608.1363636	514.3636364	799.5172414	516.5	494.7307692	392.6363636	473.8333333	601.1052632	432.4545455	550.5882353	391.6	649.6666667	570.6521739	302.12	400.1111111	698.1153846	379.7941176	665	349	546.6071429	579.9166667	504.1666667	430	600.1363636	473.24	464.25	379.5454545	428.8	537.3448276
alpha_rarefaction_448_8.biom	448	8	371	907.1764706	562.3076923	675.375	598.4411765	714.3870968	371.7142857	388.2368421	814.8947368	436.8	451	453	475.7567568	468.030303	703.5	597.2432432	370.625	469.8846154	536.4054054	676.4545455	469	571.9473684	750.575	1017.394737	875.1428571	565.5294118	687.4347826	722.037037	631.0769231	395.5714286	793.5172414	726.5581395	670.04	634.0285714	456.3703704	910	386.3571429	539.7142857	361.6521739	521.5652174	564.2916667	595.0357143	490.0714286	393.7741935	553.1111111	486.875	434.1	535.5357143	444	393.4761905	478.7894737	549.5357143	508.25	371.625	478.1304348	559.5625	448	794.46875	439.5	553.3448276	512	542.1428571	312	552	482.2608696	630.2727273	395.1363636	279.5	663
alpha_rarefaction_448_9.biom	448	9	406.2	857.5	451.9655172	609.6	712.6666667	700.5625	343.6818182	516.8709677	628.625	551.1052632	616.5882353	389.84375	567.8846154	459	801.4285714	742.7941176	486.3125	479.1304348	750.2142857	619.5714286	438.5384615	618.0322581	905.9354839	796.6842105	808.5	814.8888889	830	581.3333333	631.5555556	473.030303	687.8965517	926.7142857	632.2857143	710.9655172	383.3571429	852.6097561	431.3571429	617.9655172	322.4444444	346.3414634	494.4545455	681.2758621	683	496.8846154	569.6071429	574.12	466.25	646	358	463.5416667	439	658.7142857	553.1034483	370.5	590.4761905	617.5	428.7307692	845.2758621	440.4444444	613.5384615	638	457.4736842	365.12	747.3	515.24	366.25	261.9375	383.25	428
alpha_rarefaction_667_0.biom	667	0	484.825	990.56	582.6	660.125	849	773.0181818	459.030303	693.0285714	758	471.2857143	586.6153846	571.5294118	570.0769231	552.2222222	1011.076923	680.0517241	545.25	548.15	522.6875	720.5185185	609.0526316	809.6326531	993.56	1206.038462	951.8235294	782.3829787	1026.557692	830.6875	663.5	781.6	891.7272727	912.3584906	651.3846154	1052	623	1407.733333	598.0238095	693.7567568	513.2173913	836.3571429	616.7368421	776.6363636	787.7631579	595.0697674	658.3846154	644.6097561	506.95	872.7307692	511.4186047	525.0263158	522.027027	706.4054054	907.40625	420	551.15	688.325	532.9	814.6428571	485	723.0238095	809.0882353	599.3333333	515.5333333	773.1818182	469.7631579	726.3846154	587.8947368	382.5517241	601.3658537
alpha_rarefaction_667_1.biom	667	1	560.2439024	759.1071429	613.0526316	581.8867925	802.6511628	818.6382979	475.483871	614.3658537	772.7647059	538	608	528.6176471	546.8139535	702.1707317	879.5555556	719.4347826	600.25	686.5333333	619.2380952	726.1851852	492.6341463	985.6176471	964.8421053	1041.157895	758.3863636	671.8823529	962.2631579	701.0588235	676.0769231	617.375	1054.153846	977.8813559	697.0222222	726.1132075	549.0714286	1047.767857	567.516129	895.1818182	341.3030303	559	848	733.7631579	856.0789474	565.1621622	653.4594595	638.0277778	682.04	616.1351351	652.75	561.5	441.1666667	687.6341463	704.0857143	497.5	524.1714286	866.5	524.0285714	707.2884615	615.8125	878.8	649.1	588.7142857	467.5517241	736.1176471	505.6	670	423.6666667	521.9166667	638.2432432
alpha_rarefaction_667_2.biom	667	2	598.3714286	878.3928571	722.5517241	614.6842105	733.7727273	905.5	486.6896552	740.25	807.0169492	671.4516129	531.8571429	496.4186047	584	790.972973	928.7173913	956.625	500.8571429	536	718.9230769	623.828125	762.1764706	990.9411765	1033.692308	1135.6	763.025641	934.1428571	1125.714286	695.2884615	601.9230769	629.375	725.9821429	1008.8	837.0322581	831	563.0465116	955.3088235	540.7	651.902439	351.7941176	580.0769231	610.15625	768.7941176	889.5789474	742.1071429	537.245283	577.0227273	538.375	591.9230769	665.6896552	605.037037	609.5	716.2368421	666.5294118	432.6666667	515.2195122	753.2	491.7368421	832.9347826	774.6666667	656.0714286	804.0243902	533.2413793	601.5	540.8	586	581.7777778	456.3030303	521.7142857	713.0384615
