	sequences per sample	iteration	s934.8	w1116.2	s934.7	s1116.1	s934.3	s1116.8	w1274.8	w1274.4	h1600.5	w1204.1	w1274.1	w1204.6	h1468.1	w1204.7	w1116.8	w1116.5	w1274.5	h1468.6	h1468.7	w1204.2	h1468.4	s800.6	s934.1	s934.5	s934.6	s1116.4	w1274.2	w1274.7	w1204.8	s1116.2	s1024.6	s1024.4	w1116.7	w1204.5	h1600.6	h1468.5	w1116.3	h1468.2	s800.3	s800.5	s1116.7	s934.2	s1024.2	w1116.1	s1024.8	s1116.3	s1116.5	s1024.5	s800.1	s800.8	s800.4	s934.4	s800.7	s800.2	s1024.1	h1600.7	h1600.1	h1600.2	w1204.3	h1600.4	h1468.3	w1274.6	w1116.6	h1468.8	w1116.4	s1116.6	s1024.7	w1204.4	s1024.3
alpha_rarefaction_1324_9.biom	1324	9	29.74162	40.94029	34.72842	38.24273	38.60313	39.55382	29.97846	36.14382	50.20559	30.06965	32.37317	33.74704	36.71208	34.70745	44.83409	40.24147	29.04054	33.65402	33.56322	36.36173	34.00274	42.0748	52.03876	52.00674	41.88399	41.84514	56.84442	41.24739	32.71948	35.31192	41.23776	44.87848	36.16224	39.79039	33.83894	52.81442	31.36395	36.7974	27.60148	33.4715	34.04876	39.39606	42.74983	30.03103	36.89114	37.93592	33.2707	35.86858	33.80486	27.68139	31.64175	39.83824	32.90141	25.10923	30.15013	37.07294	31.14503	49.04783	28.24558	38.61261	37.68915	33.23884	28.07651	34.76898	29.06407	31.23554	27.78367	28.11153	35.01964
alpha_rarefaction_1543_0.biom	1543	0	31.98721	43.81169	36.93666	39.45093	39.92959	41.89294	33.54361	37.76637	51.23502	33.00092	36.04904	35.50295	38.09689	40.13181	47.74856	42.03446	27.78361	32.23119	35.99045	39.72918	35.50274	48.7977	53.24659	54.99439	44.02793	43.40157	58.45382	45.5135	37.24943	36.90731	46.0602	49.47662	38.3796	44.29624	35.4983	63.14999	31.26518	36.14327	25.83039	34.73158	35.21401	39.34555	45.34068	34.06411	38.50089	38.40806	34.50498	35.07341	34.06065	26.90529	33.81115	41.38	37.4421	25.31516	34.58453	41.66911	34.62535	48.06578	30.3231	39.51059	41.43456	31.59718	29.34448	36.03843	32.50837	32.4467	27.88407	28.24651	36.18886
alpha_rarefaction_1543_1.biom	1543	1	33.92972	44.2849	36.978	40.83578	40.43571	42.68685	32.76442	35.8379	50.11042	31.8199	34.3235	33.82311	38.33936	38.41153	45.62497	42.59983	30.86402	33.39046	35.25649	40.08345	36.68213	48.34506	53.21235	54.85669	43.76785	43.23478	57.60468	46.58956	36.09093	37.99373	46.4472	48.50254	38.82802	41.48087	35.10357	60.32172	30.51293	38.07428	27.46944	35.58698	36.46841	40.74109	44.70674	34.15754	35.76501	39.06225	33.82641	37.52052	38.75398	27.80342	32.75203	41.57137	35.49214	26.06885	34.75823	41.5134	32.76395	49.15761	31.86796	39.75138	41.33515	35.47426	31.31093	37.6552	31.56884	34.06245	30.18046	28.54886	35.25549
alpha_rarefaction_1543_2.biom	1543	2	31.30539	43.09588	39.37936	41.12848	40.99016	43.33604	31.09722	38.34525	50.9256	29.73897	34.48464	35.07069	38.11035	37.82252	50.58376	40.35293	29.57457	31.06333	35.68838	41.70893	35.34578	48.23255	52.98368	58.48715	41.70273	45.08532	57.17814	45.76928	32.87496	37.15494	44.49673	50.29951	41.19253	45.12714	37.77315	60.96275	30.51621	39.072	26.63061	32.6159	36.55529	41.0341	47.29041	32.93719	35.39439	38.92148	34.47174	36.47106	36.19304	28.40213	33.54839	41.24283	38.99823	27.87525	32.6265	41.63413	33.86387	49.43131	32.42727	39.27308	39.99298	34.30463	30.43491	36.48254	30.67995	33.98229	27.34535	30.12316	37.76364
alpha_rarefaction_1543_3.biom	1543	3	32.58132	43.84091	35.80082	42.837	40.05468	43.90224	35.57797	35.8914	50.29416	30.95508	33.55583	35.49121	37.75292	39.4153	47.79647	43.30512	29.44153	31.81937	35.31155	39.67819	35.74052	45.70827	52.35467	56.83163	43.42182	43.69622	57.58425	44.53611	35.79931	37.60662	46.55845	48.15623	39.95674	41.21966	36.17731	61.77657	31.22741	38.67584	28.41772	34.64277	35.89802	39.25779	44.04421	33.47311	37.37313	36.44476	35.63586	38.5171	34.19687	29.78466	34.09367	42.85188	35.81014	26.42983	32.67939	39.57508	33.55318	50.13888	32.44242	40.28786	40.3534	33.81058	32.2898	38.03351	31.7246	35.37489	29.92748	29.9901	37.03893
alpha_rarefaction_1543_4.biom	1543	4	31.33607	43.55507	37.62495	41.57765	42.12073	41.76548	30.44496	38.11053	50.81035	31.20497	35.63555	36.32397	38.0514	37.94134	49.83524	42.30155	30.5215	32.13583	32.80007	39.24213	35.70504	49.90179	55.47545	55.46868	44.19751	46.59431	57.87853	44.36062	36.38059	37.9008	47.33356	48.51865	39.84545	41.23912	35.47479	61.74634	30.5049	38.04772	29.91923	35.24168	36.70731	41.59751	45.059	35.08088	36.9611	40.45988	37.15664	38.37092	35.31298	30.05629	33.17734	41.40824	37.5505	26.70488	33.19642	40.41209	33.91018	49.0828	31.28664	39.80257	39.27284	34.48331	28.45525	38.19291	32.78709	30.56918	30.15148	29.59657	36.15328
alpha_rarefaction_1543_5.biom	1543	5	32.71233	43.02894	38.86482	40.30423	40.5979	42.58576	35.62213	38.24675	50.48538	31.8128	34.80447	32.73257	36.54032	37.2477	49.91033	41.53969	29.89955	30.82048	35.56724	41.55567	33.70192	50.22278	53.35352	56.61922	40.88106	43.45499	57.96625	43.47934	37.70563	38.04436	47.34438	46.99698	38.60019	44.01095	35.09642	62.00522	31.2505	39.27062	30.08811	34.71066	38.14431	39.08355	45.23768	35.42512	36.69431	37.9969	35.83002	36.74568	36.58426	30.01988	34.22001	41.51628	35.08375	26.6964	34.56726	42.13024	33.53722	50.98686	32.18051	39.59487	40.5409	33.67109	29.33253	37.03319	32.69424	32.59657	28.82393	28.17707	35.64011
alpha_rarefaction_1543_6.biom	1543	6	31.84236	42.57412	36.05043	41.95936	43.19488	42.35916	34.29746	40.05698	51.90743	30.19085	32.76284	33.17044	39.44806	36.81969	48.18866	41.92672	28.75931	32.56181	33.49194	39.57575	35.84361	47.23922	53.55112	57.58788	41.95912	42.18364	60.32681	44.06715	36.70569	40.51673	47.8308	50.29202	40.84141	43.12078	37.38611	61.34264	30.29418	40.3619	28.43026	34.83579	35.80559	41.53621	46.95631	35.26544	39.48496	41.0578	34.53495	35.8506	36.02866	30.09389	35.56569	39.66516	36.67546	26.62487	33.03163	41.42309	33.85486	46.7571	32.80147	39.75014	41.31039	35.14872	30.33942	36.34114	32.72513	32.93187	26.56863	28.90174	35.88737
alpha_rarefaction_1543_7.biom	1543	7	32.34442	43.41266	37.29251	41.28125	39.91253	42.78119	32.79231	37.85049	51.70743	31.37974	35.09794	35.29374	38.87046	38.57338	45.95012	41.65042	32.40427	30.57105	35.69416	40.03915	32.94059	49.21321	51.29792	59.05481	41.36407	44.14245	58.33529	43.72285	36.61168	39.41623	46.01344	48.28935	36.9319	43.18002	35.97627	58.91024	30.06832	38.72591	28.30782	31.8971	35.74155	41.10921	46.88763	33.95968	39.19333	39.2836	36.05911	38.32841	36.40497	29.07269	31.68655	42.06455	37.24806	28.00348	33.48262	39.68989	33.44902	50.0323	30.33445	41.22293	41.21859	35.97021	30.25002	39.59456	32.9418	34.13128	29.25725	29.40212	34.91738
alpha_rarefaction_1543_8.biom	1543	8	32.4868	42.91343	36.02348	41.82001	39.33514	43.10195	35.26116	38.20998	48.32611	30.80165	34.47153	34.13989	37.6321	37.51456	50.34438	41.34646	32.4031	33.61014	34.7546	39.92594	37.78457	45.57708	52.14744	57.71284	43.56184	44.13641	56.72908	44.74871	35.47624	38.53329	43.88333	47.09985	40.02211	41.42417	36.97564	61.35171	28.3865	39.73924	27.94875	36.0387	36.206	41.27158	46.74961	33.85415	39.03523	37.42998	35.61553	36.17863	37.41945	29.51276	35.61538	40.43567	35.96243	28.2876	34.45901	39.11857	33.91885	49.2456	32.33144	39.42334	41.06648	33.10446	32.47804	39.04149	32.59727	30.51722	29.99815	27.70675	35.97888
alpha_rarefaction_1543_9.biom	1543	9	32.52161	43.43609	38.4928	41.18709	40.08612	42.88924	33.04933	39.87584	51.28828	29.84478	33.70225	32.54218	38.37911	39.00093	47.62418	44.23476	29.51168	32.20973	34.99888	39.79957	34.39453	48.17484	55.52369	57.39664	41.65942	43.76589	58.98296	44.754	35.13501	36.83759	45.42042	46.44523	39.26232	44.69272	35.51484	59.66854	29.15406	40.31077	28.14668	35.05196	37.43341	40.0271	47.23314	33.37154	36.63501	38.67719	34.8946	37.58947	34.80599	27.50496	33.88043	40.53231	37.13347	25.81629	34.65054	40.38256	34.71988	49.22445	32.0795	39.54915	40.09365	33.34262	30.36195	38.46681	31.84637	30.80099	30.23338	28.43297	35.9147
alpha_rarefaction_1762_0.biom	1762	0	33.89617	43.50859	41.12547	44.27755	42.45012	44.23924	36.39296	42.30916	51.94091	34.53615	35.95282	37.10204	39.5124	39.47017	50.90503	43.91812	31.72802	35.00921	36.28727	44.09783	36.13256	50.07402	59.69813	60.90977	45.42687	47.54001	63.23351	48.01182	38.31131	40.54926	50.961	51.66424	42.25631	45.95343	39.09338	66.27032	32.80712	42.12166	28.41345	36.01972	41.03974	42.06952	48.95627	36.11046	42.17189	41.53732	35.13993	39.25661	38.47205	30.59171	38.55016	46.51617	38.3591	30.5496	34.80108	45.93665	34.32475	52.15703	34.50121	42.84232	42.23813	33.29637	31.56171	40.16535	35.76638	34.83694	30.72994	30.44629	38.19201
alpha_rarefaction_1762_1.biom	1762	1	32.05736	46.30295	39.07607	44.95077	44.84202	45.14701	37.01453	40.1691	51.36983	34.12986	36.00559	36.14386	40.25942	40.98724	50.77382	43.42197	33.64709	31.50558	37.36829	43.40014	36.21058	51.72075	57.99241	62.33776	44.6952	43.78502	61.83108	48.91099	40.89076	42.41257	47.98251	52.26747	39.73508	44.2684	38.35557	64.68546	30.96942	43.14351	29.4832	35.64554	39.92977	44.53772	49.39582	37.7465	38.86356	44.15192	38.37774	41.1461	35.65697	30.70288	36.70279	43.47522	41.61842	28.18304	35.17625	44.0621	35.92716	52.58226	34.22768	42.00828	44.03189	35.70262	32.94608	39.77678	35.23072	37.09823	31.16372	30.85739	36.41263
alpha_rarefaction_1762_2.biom	1762	2	32.62062	46.64392	39.80117	44.12793	42.8248	46.81193	34.39322	38.41651	51.95301	36.02675	36.65745	35.56659	39.15173	40.06842	51.56124	43.0439	32.20955	34.0607	38.80933	41.64715	37.79959	50.21254	55.59209	61.33572	43.84829	45.55467	60.42528	46.49047	38.93058	40.91771	47.57641	53.01262	39.0318	45.17692	36.95041	63.11435	33.45627	41.9458	30.62465	36.71927	39.36123	41.41069	50.27898	36.42481	38.16922	43.28563	37.5659	39.38782	38.0536	29.74805	35.32271	43.17297	40.01152	29.36571	33.93497	42.81535	35.17743	52.48777	34.19919	41.15278	44.067	35.2787	32.23827	40.25899	34.08109	34.68373	31.89981	31.65398	39.89826
alpha_rarefaction_1762_3.biom	1762	3	33.22617	45.03002	39.79562	45.881	45.10673	44.82193	36.114	41.64045	54.26999	33.94027	35.50394	37.25617	38.94397	39.34362	50.58306	43.9795	30.44135	33.55437	35.65867	44.80735	37.3061	51.1369	55.97089	61.26815	45.37469	46.07779	60.42516	48.91235	39.80049	41.85842	47.08606	52.0361	42.35224	44.91046	39.92993	64.02219	33.73575	40.83311	29.84276	37.65343	38.07654	41.37547	47.02332	36.70294	40.81109	41.38722	36.82149	38.73868	37.22782	31.4522	37.74518	44.36747	39.32335	30.32065	37.73195	45.92148	35.17533	53.64326	32.28779	41.32811	43.47836	33.87682	32.62292	39.07634	34.92762	34.18269	31.29705	32.26201	38.01029
alpha_rarefaction_1762_4.biom	1762	4	33.39027	48.62425	39.54771	43.61719	43.69101	43.14911	33.8672	40.05741	54.12633	33.5814	35.34936	35.53655	40.44055	39.79995	50.45696	43.98988	32.1129	35.30585	36.72353	43.05027	35.36016	49.00906	55.28995	58.05017	45.45957	46.32089	60.11537	46.49447	40.40989	41.26152	48.53466	49.51951	40.69053	43.68787	39.20873	64.42065	31.20834	42.28359	28.59261	34.70215	37.25979	41.88263	49.82	37.64712	40.51677	41.43057	38.76201	37.21739	39.33086	32.29495	36.37596	43.16086	37.98562	29.74991	35.97436	44.16264	35.26996	51.62362	31.73995	42.14013	42.33677	37.08378	32.88961	40.30399	33.43759	34.23258	29.50838	30.26715	38.83092
alpha_rarefaction_1762_5.biom	1762	5	34.04852	45.48753	38.9037	44.96982	44.42854	45.47991	36.8017	41.29449	52.98465	31.7907	35.12997	35.04792	40.14292	41.05671	50.19786	43.21856	31.97694	33.57167	38.51875	42.88711	38.16663	51.5513	58.74626	60.91551	47.05405	45.40391	61.84305	47.80673	39.20424	39.46876	48.64928	51.48863	41.4155	44.14601	37.01165	65.70047	34.62448	40.29899	30.09944	34.48241	37.87542	42.65032	47.69409	37.2559	40.97361	38.80494	37.43056	40.02801	37.55337	31.55473	37.84472	43.32888	40.38557	27.94961	35.2395	44.11174	35.8579	52.15851	34.41136	43.08348	43.16639	37.36247	32.21037	39.95302	36.08489	34.29187	31.16097	30.02428	38.74276
alpha_rarefaction_1762_6.biom	1762	6	33.73097	45.35422	40.03063	45.2094	44.61204	44.87912	34.97189	39.7231	52.52255	33.01563	34.96257	36.78607	39.19729	40.48961	52.80638	43.95703	29.8752	33.61231	36.13252	43.38323	35.96991	49.45492	59.61419	60.40423	44.70869	45.13914	61.35442	45.9701	38.74167	41.63945	49.27442	51.48567	40.56952	44.18666	36.45051	65.77758	33.25589	39.87754	31.05874	35.27595	39.00739	42.10142	46.42063	35.17356	41.39049	42.56862	36.79494	37.59613	38.97557	30.64929	36.42724	42.57805	35.40412	27.72093	37.53619	44.01402	34.47894	51.93278	33.34121	40.87949	41.80163	33.96745	32.59154	41.14034	34.97646	33.33499	30.26598	32.75029	38.27871
alpha_rarefaction_1762_7.biom	1762	7	32.4233	45.44341	41.49818	43.71447	44.85691	43.93649	37.08651	40.27939	52.72025	35.17382	33.99114	35.63979	40.41717	38.51319	51.06857	44.46362	32.68937	35.0501	37.53959	42.38371	37.78132	50.14514	56.76527	62.02848	44.17134	47.51447	63.01777	49.32792	39.10241	39.92958	50.37592	49.80955	39.81502	47.80247	38.42526	62.7619	33.67936	40.82517	28.81712	36.61903	39.95509	41.10325	47.44237	37.10733	39.78666	40.25857	36.14298	38.75193	35.63078	30.40568	35.16858	42.98832	39.3896	29.63415	35.50527	42.5184	35.16462	50.80471	34.19164	42.08056	42.3203	34.86713	29.4903	41.24199	36.5094	33.38628	33.19555	31.47718	37.78978
alpha_rarefaction_1762_8.biom	1762	8	33.65922	46.74186	40.16761	44.57425	44.53369	44.16371	34.57425	39.47556	51.49785	34.61089	35.68939	37.2838	39.03715	40.61574	51.85877	44.88344	31.05163	32.03053	36.87374	41.72133	37.69444	50.70437	61.14803	59.36065	45.86374	47.55493	60.10492	50.69722	39.17402	41.46553	46.45474	51.13704	41.48011	46.18752	37.88156	65.73085	31.7256	39.33974	30.50223	37.99815	40.61235	44.4692	47.04647	35.81941	40.24503	43.22324	39.3321	38.37607	38.57565	30.32466	36.69061	45.35073	38.84536	27.52281	36.31983	42.32495	35.01697	51.91567	33.73887	41.98961	42.69129	35.89855	34.20657	41.2392	32.89736	36.10606	30.43851	30.49721	38.62113
alpha_rarefaction_1762_9.biom	1762	9	31.65106	46.0307	38.91005	45.18035	43.91099	44.832	36.15646	39.43075	53.91853	31.63445	37.37185	35.47682	39.70808	40.99169	51.55283	43.47861	32.62097	34.26689	37.55016	42.76424	37.91379	51.60522	56.9496	59.12165	44.44348	47.61375	59.91102	47.10269	38.47546	39.43225	46.64277	50.69903	40.61711	45.33405	37.8434	63.94237	31.82313	39.04819	29.06677	36.91592	39.53475	43.77548	49.52478	38.08869	40.6146	39.79624	36.18856	37.71597	40.08785	30.70897	37.408	45.39768	37.89683	27.31603	34.28215	42.60112	35.68562	51.0457	33.30434	40.91905	43.19437	35.43277	33.55782	40.1604	34.16756	35.71132	32.45933	31.18545	37.27572
alpha_rarefaction_1981_0.biom	1981	0	34.47532	49.25088	41.18033	46.1444	46.13227	47.09832	37.11241	43.23393	56.00486	37.18274	37.35762	38.0788	41.45605	42.53056	54.64538	44.17446	34.54521	35.75561	38.69264	45.401	38.00507	54.88538	61.18153	62.7788	48.11475	47.47698	63.88935	49.36291	41.14649	43.05954	50.30547	54.76617	44.42925	49.34963	39.42775	67.1119	33.75752	42.39433	31.38972	38.62597	40.91803	44.0826	51.08463	39.19268	40.48149	44.55259	39.76993	40.11895	40.73525	32.20445	38.45073	46.31724	42.15608	29.38668	34.52942	45.37123	37.09325	54.55774	35.25454	42.94199	45.19346	37.41372	35.97783	42.98041	35.81053	35.30115	31.31692	33.98671	39.43708
alpha_rarefaction_1981_1.biom	1981	1	34.82269	47.9681	41.46523	46.56221	45.69494	47.27089	37.8364	41.03233	54.36157	33.81111	35.46681	38.78122	43.41801	41.76227	54.55399	45.996	35.29783	35.13545	40.52635	43.66834	36.16818	56.83358	60.06298	64.61605	49.92079	50.5295	65.99171	50.29747	40.04029	42.59524	50.26174	53.87853	44.07901	47.70572	40.46603	66.88116	33.54894	43.43763	30.13396	38.91739	44.03657	44.60037	51.21182	38.50784	41.49418	44.91299	39.78808	39.50326	39.20279	32.81531	37.77543	46.59105	42.16628	29.08838	39.23458	45.18747	36.87944	55.43996	32.65372	45.59748	44.74002	36.49551	33.13154	40.99493	34.54719	37.81979	34.25064	30.5007	40.30461
alpha_rarefaction_1981_2.biom	1981	2	33.91163	50.49698	38.72586	46.54111	43.846	46.04943	37.74324	43.77253	54.87364	37.72157	38.55586	36.23501	40.58001	43.15663	52.77722	44.99487	34.77436	35.27188	38.95999	45.446	38.51685	51.87819	62.64302	64.21076	47.97956	51.47681	63.47048	50.90692	40.64543	42.70904	51.84123	54.50605	43.00705	50.92131	40.79297	68.4004	32.98834	44.07336	31.23305	40.22742	40.29018	46.12919	51.93391	39.87897	44.2056	43.52425	38.26289	39.70922	40.28743	32.68847	38.04729	47.40017	42.58654	30.38506	35.96916	46.59376	36.73655	55.03309	35.11311	43.8426	45.31059	36.02703	36.98974	41.39624	37.30414	36.98868	30.92822	32.08815	39.45194
alpha_rarefaction_1981_3.biom	1981	3	35.47468	49.7152	41.69543	46.27116	46.97016	47.98671	36.33595	40.10515	57.09893	34.95384	38.4663	36.73943	42.1477	42.54226	53.90919	45.97546	31.63595	36.0555	38.64509	44.71233	37.21092	54.79435	57.62125	65.49449	48.29727	49.75791	64.76186	50.65132	38.33515	42.35344	50.84456	55.4492	40.4168	45.72374	40.54127	68.33047	34.68281	40.77564	29.81556	36.99106	40.74603	44.72857	51.44564	37.67177	42.32187	44.31477	38.48328	37.82136	41.40998	32.54367	38.1438	47.81788	39.53131	29.14929	36.25841	46.01574	37.18554	55.31453	36.85626	41.82299	43.92608	37.58149	37.06983	42.51423	35.94934	37.9241	31.5644	34.14601	39.0929
alpha_rarefaction_1981_4.biom	1981	4	34.38407	48.62302	42.85803	47.16834	46.18297	46.17474	37.40544	41.70669	54.75141	33.55175	35.95062	37.44935	41.50084	43.28009	54.67628	46.04224	34.09833	33.84945	36.65064	45.14123	38.45363	50.65892	59.81688	63.12905	47.75836	48.27868	65.7153	49.40439	39.8477	44.32185	51.30081	53.52276	43.10629	48.40933	40.09536	67.00505	34.78916	44.20379	31.96884	38.46103	41.83493	44.01353	52.31883	36.94378	42.89371	45.60996	37.65164	39.79538	38.52381	31.08147	38.37863	46.51995	40.88611	31.03179	35.98618	46.01165	36.20488	53.94615	35.69436	44.74511	44.00143	37.38627	36.2933	42.99037	35.29571	38.08411	31.82432	31.44825	39.90595
alpha_rarefaction_1981_5.biom	1981	5	35.29218	48.00807	40.31328	46.11246	46.2025	47.07824	36.42397	41.13085	55.95256	35.18839	37.16251	38.67861	40.11841	42.73711	52.39515	45.79026	32.96598	34.5186	38.48942	46.17502	38.96385	53.64017	61.54522	65.11051	48.67308	49.09884	62.49717	50.27503	40.02611	42.12478	53.19037	53.62541	44.71818	47.46626	40.42107	67.99476	33.92831	42.05109	31.81531	38.25695	42.03318	44.12392	50.48283	38.05648	43.62358	43.99203	39.78058	41.45676	40.92973	31.52257	36.93907	48.49382	41.9809	28.75957	35.65968	44.05104	37.31854	55.21105	35.58868	42.84944	44.98572	36.40385	33.4754	43.11043	35.34359	37.98745	32.0925	34.70882	38.9313
alpha_rarefaction_1981_6.biom	1981	6	36.84087	49.37627	42.22308	46.28389	45.14191	46.95235	37.88315	41.56833	56.0283	35.4294	37.52233	36.97109	41.41202	43.65959	55.57424	45.7435	33.15457	37.36098	40.04947	45.97349	38.35204	51.66913	59.43579	63.59523	49.51739	48.08841	64.17936	49.6337	40.49711	42.3638	51.60957	55.9861	44.27892	47.54386	40.04103	67.13177	33.50473	43.53151	30.36175	39.56928	41.99537	45.13729	51.48099	36.50249	42.32374	42.89466	39.27509	40.51901	39.45137	32.59594	37.70129	45.77106	42.84001	30.31832	36.74116	45.70835	35.93441	54.97162	34.78237	43.79892	45.40696	38.31059	34.37105	41.31846	36.24144	35.68044	31.15086	32.20295	39.88088
alpha_rarefaction_1981_7.biom	1981	7	35.26137	46.23354	42.83914	47.2091	45.05672	46.87994	36.37587	41.35232	54.37831	36.03249	37.86748	37.6244	41.40067	42.27707	53.8807	46.64879	34.81178	36.53903	39.83362	44.05775	38.79515	52.69904	61.36618	62.68177	46.78971	50.62292	65.7904	49.58775	43.03015	42.1418	52.02017	53.3312	42.07941	46.92361	39.69163	68.94746	34.1244	41.65506	32.93522	38.93619	41.47177	45.37998	51.93724	38.51237	42.25268	45.30872	38.68757	39.8498	38.41926	31.89032	38.18272	44.52384	42.94937	31.04352	35.91368	43.86402	36.13264	55.46284	36.68688	43.13733	44.85086	35.89654	33.17212	41.09339	36.85774	38.37255	32.25973	31.28848	39.15317
alpha_rarefaction_1981_8.biom	1981	8	34.41431	46.38253	42.39713	47.4069	46.99419	47.43667	36.2399	42.89481	55.97628	36.02816	37.51613	38.23385	41.89859	41.51727	53.25596	45.2479	34.60698	34.48065	37.91935	45.11285	38.11171	53.47114	61.19565	65.26282	48.40288	51.3164	65.02452	48.72407	41.58034	41.51076	53.24424	51.13282	42.95007	48.88387	37.64818	66.14189	33.1324	44.67545	31.03792	37.42929	40.99109	44.30279	51.12448	40.09981	42.75641	44.32454	38.86591	41.51694	40.58428	33.81412	37.25214	49.7234	41.84744	28.06722	36.27272	47.1906	36.92794	56.47266	34.60664	41.4068	44.08825	35.30022	35.30584	42.55913	35.95678	37.05649	31.40787	33.9192	39.52499
alpha_rarefaction_1981_9.biom	1981	9	34.49239	48.75109	42.53378	45.28162	46.52883	47.44808	37.28103	44.35182	55.50364	34.0412	37.91828	37.75246	41.24719	41.70722	52.74037	45.81099	35.26537	34.41677	38.69154	43.16533	39.41761	54.51515	59.39725	63.99849	49.25127	49.10775	65.34336	50.84513	40.03545	41.75291	52.81895	52.80699	42.04688	45.03847	40.36453	68.76811	35.22996	44.5304	32.53118	38.33628	41.02726	44.18796	52.75644	39.12891	43.35095	45.26971	37.9019	42.47543	41.5206	32.18333	35.37304	46.7509	43.78749	30.2116	36.35459	44.97652	36.99467	53.6139	34.55077	43.15032	44.42223	39.28923	35.05412	41.77881	36.4721	38.99302	32.30335	32.14336	41.61264
alpha_rarefaction_2200_0.biom	2200	0	37.27706	51.2322	43.63867	47.31212	48.60682	49.00407	39.70154	43.32109	57.67829	34.22982	39.66313	38.53644	43.60501	44.38864	54.12231	48.66733	35.00096	36.98595	39.48829	46.76406	42.04561	56.88863	63.78991	63.27221	49.85761	52.03604	67.57216	51.57897	44.24062	43.87136	52.82748	57.08633	45.65726	49.36231	41.65356	69.36618	36.07493	42.96318	32.49935	37.54781	43.69961	48.54014	54.68166	42.40735	44.0921	46.36724	40.7978	40.34367	41.79175	33.96557	38.48106	49.69529	44.06856	30.86115	39.28901	45.49781	38.05374	58.18558	36.4913	45.80828	46.01147	36.30964	36.04109	45.31642	38.54842	37.77556	34.73236	34.15832	40.28536
alpha_rarefaction_2200_1.biom	2200	1	36.47105	50.62838	41.21766	48.43767	48.85081	48.3099	36.35939	44.61102	58.65286	37.41525	39.14205	38.73447	43.37959	44.3229	55.69333	47.84341	37.0477	36.59121	41.44447	47.19705	40.52962	56.27744	62.25382	67.04143	51.40069	51.40913	67.03064	51.97924	42.55613	44.23647	53.91273	55.7967	44.67604	49.97933	41.40833	70.94071	35.15589	43.24762	33.50719	40.22552	43.48981	46.70202	52.92953	40.85124	44.91437	47.83478	42.33958	45.02246	42.81013	34.97426	39.87633	50.22179	44.0704	31.25375	40.08321	46.31117	37.99676	56.93874	37.86845	44.94402	45.91216	38.22261	36.03793	46.23983	38.184	39.1016	34.91069	34.38314	42.04023
alpha_rarefaction_2200_2.biom	2200	2	37.09438	49.24747	44.80508	48.39877	48.6296	49.09212	37.5572	43.41592	58.20168	37.59633	40.10879	39.53258	43.59854	42.47333	57.64373	48.48823	36.29981	36.94979	39.62708	45.98461	41.84695	56.41219	64.35867	66.62892	51.47048	50.72388	66.48323	49.53912	42.98878	44.99067	57.0442	56.84592	45.58778	49.4554	39.77066	71.00728	33.47987	44.65156	31.77185	41.18153	44.68417	47.88729	55.06644	42.01127	42.20482	45.4219	40.8152	44.41338	41.24171	33.51183	39.30194	47.80735	44.43727	31.37078	38.85965	45.80336	38.13888	57.21796	37.58292	44.2246	47.28582	36.80895	36.79103	43.29803	37.56684	38.53711	34.23699	33.90923	42.49837
alpha_rarefaction_2200_3.biom	2200	3	36.54246	52.34229	43.68316	48.18596	47.58465	48.23458	38.52387	44.60499	58.3302	36.30022	40.72118	41.00056	43.35684	43.92137	55.80933	48.58024	36.86943	37.57512	40.82369	45.12701	40.65578	56.61777	63.81083	65.67704	52.03718	50.99102	67.77954	52.69853	40.31458	45.76263	53.66401	55.88096	44.4521	48.99553	41.95258	71.19461	36.33785	43.79776	32.55748	39.3813	45.04811	48.55955	53.35511	39.45113	43.39578	45.37725	41.89787	43.43005	41.91667	32.99949	40.50471	48.1321	46.77184	30.79999	40.06598	48.04503	37.63621	56.85076	38.12769	44.30331	45.14194	38.4905	34.88217	44.15429	37.04075	38.62103	33.80855	34.20599	42.24975
alpha_rarefaction_2200_4.biom	2200	4	36.91153	51.37595	42.07834	48.95419	48.37147	48.88017	40.04557	45.67445	56.04245	35.41595	39.83367	39.22504	42.99103	43.57539	56.54996	48.1256	35.50179	36.51361	40.67242	46.34563	41.66203	55.79678	62.38886	68.16961	49.23185	53.89317	67.25461	52.05228	42.5357	44.37879	53.47387	56.55887	44.83772	48.9049	41.52706	69.5768	34.62445	47.15037	33.24769	38.98166	44.02903	46.78881	55.63399	39.27709	45.07939	46.49013	39.66447	43.40467	41.36602	35.24475	39.46985	48.2784	44.0278	32.39656	37.78059	47.03019	37.99404	57.4188	38.59656	45.61151	46.94687	37.14812	34.21866	44.9435	37.15556	41.95638	33.91171	33.48239	43.46086
