	h1468	h1600	s800	s934	s1024	s1116	w1116	w1204	w1274
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;Other	0	0.000415359	0	6.95E-05	0	0	4.95E-05	0	2.37E-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Diaphorobacter	5.11E-05	0	2.18E-05	2.32E-05	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Leptothrix	0	0.000184604	0	0	0	0	0	0	0.000118287
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Methylibium	0	4.62E-05	0	0	0	0	0	0	4.73E-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pelomonas	0	0	0	0	0	0	4.95E-05	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhodoferax	0	0	0.000239615	0	0	0	0	0	4.73E-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax	2.56E-05	0.000415359	0	0.000162161	0	0	0	0	0.000236574
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;Other	0.000255637	0.000138453	4.36E-05	9.27E-05	0.000158638	0	0.000173233	0.000131027	0.000638751
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__	0	0	0	0.00027799	5.29E-05	0.000112082	2.47E-05	0.000152865	0.00018926
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Collimonas	0	4.62E-05	0	0	0	0	0	0	4.73E-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Polynucleobacter	0	0	0	6.95E-05	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ellin6067;f__;g__	0.000153382	0.000138453	0	0.000185327	0	2.24E-05	0	0	9.46E-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Gallionellales;f__Gallionellaceae;Other	0.000127818	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1;f__;g__	0.000178946	0.00046151	2.18E-05	0.000231658	0	0	0	0	4.73E-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;Other;Other	0	0	8.71E-05	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;g__Methylotenera	0	0	0	0	0	0	4.95E-05	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;Other	0	0	0	2.32E-05	0	0	0	0	9.46E-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Procabacteriales;f__Procabacteriaceae;g__	0	0	0	9.27E-05	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;Other	5.11E-05	0	8.71E-05	0.000185327	0	0	4.95E-05	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__	0	4.62E-05	0.000239615	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Uliginosibacterium	0	0	0	0	0	0	7.42E-05	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SBla14;f__;g__	0	0	0.001764437	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__;g__	0	0.000138453	0.000261398	0.000138995	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;Other;Other;Other	0.000332328	0.000184604	0.000174265	0.000231658	0.000132198	8.97E-05	0.000173233	0.000174703	0.00018926
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__	0	0	2.18E-05	0	0	0	2.47E-05	0	4.73E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio	5.11E-05	0	0	0	0.000105759	4.48E-05	9.90E-05	6.55E-05	2.37E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__DTB120;f__;g__	0	0	0	0.000162161	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__	0	0	6.53E-05	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter	0.000230073	0	0.000174265	0.000347488	7.93E-05	4.48E-05	0.000173233	0	4.73E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__FAC87;f__;g__	2.56E-05	0	0	4.63E-05	0	2.24E-05	0.000197981	0.000131027	0.000118287
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__MIZ46;f__;g__	0.000460146	0.000276906	0.000348531	0.000463317	0.000264396	0.000224165	0.000767175	0.000545947	0.000402176
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;Other;Other	0.00076691	0.001199926	0.000392097	0.000857136	0.00076675	0.000358664	0.000494951	0.000196541	0.000402176
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__	0.003169896	0.005215064	0.002004052	0.004656335	0.002088731	0.002286483	0.003241932	0.003057303	0.001750651
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__0319-6G20;g__	5.11E-05	0	0	6.95E-05	0	0	0.000173233	0	4.73E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacteraceae;Other	5.11E-05	0	4.36E-05	0	0.000132198	2.24E-05	2.47E-05	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacteraceae;g__Cystobacter	0	0	0	4.63E-05	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacterineae;g__	0	0	4.36E-05	0	0	0	0	4.37E-05	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__	0.000102255	0.00046151	0.000261398	0.000115829	0.000132198	0.000156915	0.000222728	8.74E-05	0.000118287
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__	2.56E-05	4.62E-05	6.53E-05	0.000115829	2.64E-05	8.97E-05	0.000123738	0.000196541	9.46E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Anaeromyxobacter	0	0	0.000435663	0.000208493	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;Other	0.000127818	0	0	0	0	0.000112082	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__	0.000153382	9.23E-05	2.18E-05	0.000138995	2.64E-05	6.72E-05	0.000173233	2.18E-05	7.10E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Sorangium	0	0	2.18E-05	6.95E-05	2.64E-05	2.24E-05	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NB1-j;f__;g__	0.000102255	4.62E-05	0.00082776	0.000625478	0.000370155	0.00089666	0.000296971	0.000371244	7.10E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NB1-j;f__MND4;g__	0	0	4.36E-05	4.63E-05	2.64E-05	0	0	0	4.73E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NB1-j;f__NB1-i;g__	0	0	4.36E-05	9.27E-05	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Sva0853;f__;g__	5.11E-05	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Sva0853;f__JTB36;g__	0.000230073	0.000138453	2.18E-05	0.000579146	0.000185077	0.000179332	0	2.18E-05	0.000212917
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Sva0853;f__SAR324;g__	7.67E-05	4.62E-05	0	2.32E-05	0	0	0	2.18E-05	4.73E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Desulfobacca	0	0	4.36E-05	4.63E-05	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__	0.010711182	0.010199372	0.019016708	0.016100262	0.014938396	0.015444967	0.01254702	0.012796995	0.012372841
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter	0.000562401	0	0.000217832	9.27E-05	0	4.48E-05	0	0.000174703	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other;Other;Other	0.000818038	0.000830718	0.000501013	0.001135126	0.000581672	0.000919076	0.001064146	0.00072065	0.001750651
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;Other;Other	0	0	0	0	0	0.000112082	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__	0	0	0	0	0	4.48E-05	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;Other	0	0	0	2.32E-05	2.64E-05	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Gluconacetobacter	0	0	0	0	5.29E-05	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;Other;Other	5.11E-05	0.000184604	6.53E-05	0.000208493	5.29E-05	0.000403497	0.000173233	0.000349406	0.000118287
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__;g__	0.000178946	0	0.000108916	0.000208493	0.000158638	8.97E-05	7.42E-05	6.55E-05	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;Other	0	0	2.18E-05	0	5.29E-05	0	0	4.37E-05	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__	0.000178946	0.000323057	0.000631712	0.00055598	0.000449474	0.000672495	0.000272223	0.000589623	0.000402176
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Aquicella	0.001380439	0.000553812	0.000348531	0.000254824	0.000237957	0.000313831	0.000197981	0.000436758	0.000425834
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Rickettsiella	0	0.000415359	0	0	5.29E-05	0	7.42E-05	0	2.37E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;Other	0	0	4.36E-05	4.63E-05	5.29E-05	2.24E-05	0	0.000109189	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__	2.56E-05	4.62E-05	0	0	5.29E-05	0	0	4.37E-05	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella	0.000102255	0	0	0	0	0	4.95E-05	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Candidatus Portiera	5.11E-05	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SUP05;g__	2.56E-05	0	0	0	0	0	0	4.37E-05	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	5.11E-05	0	0	4.63E-05	0	8.97E-05	0	2.18E-05	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;Other	0	0	0	0	2.64E-05	6.72E-05	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.000102255	0.001753738	0	0.000370654	2.64E-05	2.24E-05	4.95E-05	0	0.000496806
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__	0	9.23E-05	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;Other;Other	0.000255637	0.000138453	2.18E-05	6.95E-05	0.000105759	2.24E-05	4.95E-05	0.000262055	0.000118287
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__	0	0.000184604	6.53E-05	4.63E-05	7.93E-05	0	0	0	4.73E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;Other	0	4.62E-05	0	0	0	0	2.47E-05	0	4.73E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__	0.021064472	0.027644453	0.014267977	0.018764334	0.019327376	0.019412688	0.022520293	0.023868798	0.017033357
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Nevskia	2.56E-05	0	2.18E-05	4.63E-05	0	0	9.90E-05	0.000109189	2.37E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Steroidobacter	0.000536837	0.000599963	0	0.000208493	0	0	7.42E-05	0	0.000260232
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;Other	0.000127818	4.62E-05	2.18E-05	0.000324322	0.000343715	6.72E-05	4.95E-05	0.000152865	0.00018926
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__	5.11E-05	0.000323057	0	0	0	0	0.000173233	0	4.73E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Dyella	7.67E-05	0	2.18E-05	0	2.64E-05	0.000268998	0.000346466	0.000436758	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Rhodanobacter	0	0	0	0	0.000132198	0.000201748	2.47E-05	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	0.000306764	4.62E-05	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__TA18;o__CV90;f__;g__	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__SAR406;c__AB16;o__Arctic96B-7;f__A714017;g__ZA3312c	2.56E-05	0	0	2.32E-05	0	0	0	0	0
k__Bacteria;p__SBR1093;c__;o__;f__;g__	0	0	0	4.63E-05	2.64E-05	0	0	0	0
k__Bacteria;p__SBR1093;c__VHS-B5-50;o__;f__;g__	0	0	0	2.32E-05	0.000158638	0	0	0	0
k__Bacteria;p__Spirochaetes;c__GN05;o__;f__;g__	5.11E-05	0	0	0	0	0	0	0	0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;Other	0	0	2.18E-05	6.95E-05	5.29E-05	0	2.47E-05	0	0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__	0	0.000184604	0.000936676	0.000416985	0	6.72E-05	0	0	9.46E-05
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta	0.000230073	9.23E-05	0	9.27E-05	0	0	0.000123738	0	4.73E-05
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	0	0	8.71E-05	0	0	0	0	0	0
k__Bacteria;p__Spirochaetes;c__[Leptospirae];o__[Leptospirales];f__Leptospiraceae;g__Leptonema	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__TM6;Other;Other;Other;Other	0	0	0	0	2.64E-05	2.24E-05	0	0	0
k__Bacteria;p__TM6;c__SBRH58;o__;f__;g__	0.000102255	4.62E-05	6.53E-05	0.000115829	5.29E-05	8.97E-05	0	4.37E-05	7.10E-05
k__Bacteria;p__TM6;c__SJA-4;o__;f__;g__	0.000894729	0.001015322	0.000370314	0.000926634	0.00142774	0.000313831	0.000569194	0.000371244	0.000638751
k__Bacteria;p__TM6;c__SJA-4;o__S1198;f__;g__	7.67E-05	0	0	0	0	0	0	0	0
k__Bacteria;p__TM7;Other;Other;Other;Other	0	9.23E-05	0	2.32E-05	2.64E-05	0	0	0	2.37E-05
k__Bacteria;p__TM7;c__SC3;o__;f__;g__	0.000102255	0.000738416	0	0.000393819	0.000185077	0.000156915	0.000222728	0.000131027	0.000757038
k__Bacteria;p__TM7;c__TM7-1;o__;f__;g__	0.001661639	0.000738416	0.000304964	0.000741307	0.001057586	0.000537996	0.001484854	0.001004542	0.000875325
k__Bacteria;p__TM7;c__TM7-3;Other;Other;Other	0	0	0	0	0	0	0	0	9.46E-05
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Candidatus Phytoplasma	0	0	0	0	0	0	0	6.55E-05	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Asteroleplasma	0	0.000138453	0.000130699	4.63E-05	0	4.48E-05	2.47E-05	0.000109189	4.73E-05
k__Bacteria;p__Verrucomicrobia;Other;Other;Other;Other	0	0	0	2.32E-05	0	0	0	4.37E-05	0
k__Bacteria;p__Verrucomicrobia;c__Opitutae;Other;Other;Other	0.000127818	0.000184604	6.53E-05	6.95E-05	0.000264396	0.000179332	0	2.18E-05	7.10E-05
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;Other	0.000204509	0	8.71E-05	0.00027799	5.29E-05	6.72E-05	0.000321718	0.000152865	0.000307547
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__	0.000562401	9.23E-05	2.18E-05	0.000185327	2.64E-05	0	0.000197981	0	0.000283889
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus	0.004499208	0.00092302	0.000326748	0.000764473	0.002458886	0.000919076	0.007003564	0.00318833	0.000496806
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;Other	5.11E-05	0	2.18E-05	2.32E-05	0	0	2.47E-05	0	2.37E-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__	2.56E-05	0	0	0	0	0	2.47E-05	0	0
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae];Other;Other;Other	0	0	0	0	0	0	0	0	7.10E-05
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae];o__Methylacidiphilales;f__;g__	0.000255637	0	0	0	5.29E-05	0	4.95E-05	6.55E-05	0
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae];o__S-BQ2-57;f__;g__	0	0.000230755	4.36E-05	4.63E-05	0.000343715	0	9.90E-05	0.000196541	0.00018926
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];Other;Other	7.67E-05	4.62E-05	8.71E-05	0.000115829	0.000370155	0.000201748	0.000420709	0.000698812	2.37E-05
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__;g__	0.000102255	0	6.53E-05	4.63E-05	0.000290836	0	0.000197981	0.000174703	2.37E-05
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__Ellin515;g__	0.000127818	0.000138453	0.000392097	0.000324322	0.000634551	0.000134499	0.000321718	0.000152865	0.000165602
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__[Pedosphaeraceae];Other	0	0	0	2.32E-05	5.29E-05	6.72E-05	0	0	7.10E-05
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__[Pedosphaeraceae];g__Pedosphaera	0.000102255	0.000138453	4.36E-05	4.63E-05	2.64E-05	0.000112082	9.90E-05	4.37E-05	0
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__auto67_4W;g__	0.000741347	9.23E-05	0.000108916	0.000532814	0.000528793	0.000291414	0.00091566	0.001484976	0.000141945
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];Other;Other	0	0	0	0	0	0	0	4.37E-05	0
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];Other	0	0	0	0	0	0	0	8.74E-05	0
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__	0	0	0	0	0	4.48E-05	2.47E-05	8.74E-05	0
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__Candidatus Xiphinematobacter	0.000127818	0.000184604	0.00082776	0.00055598	0.000264396	0.000605245	0.000420709	0.000764326	0.000331204
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__Chthoniobacter	2.56E-05	0	0	6.95E-05	0	0	2.47E-05	0	0
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__DA101	7.67E-05	0	0.000239615	2.32E-05	0	0	0	0	0
k__Bacteria;p__WPS-2;c__;o__;f__;g__	0.01257733	0.007245708	0.020345481	0.017026896	0.014277405	0.018829859	0.025118788	0.028869672	0.009462976
k__Bacteria;p__WS3;c__PRR-12;o__Sediment-1;f__PRR-10;g__	0	0.000738416	6.53E-05	0.000301156	0	0	2.47E-05	0	0.00018926
k__Bacteria;p__WWE1;c__[Cloacamonae];o__[Cloacamonales];f__SHA-116;g__	0	0	0.000108916	0	0	0	0	0	0
