	h1468	h1600	s800	s934	s1024	s1116	w1116	w1204	w1274
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium	7.67E-05	0	8.71E-05	4.63E-05	0	2.24E-05	0	2.18E-05	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;Other	0	0	0	2.32E-05	0	2.24E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__	2.56E-05	4.62E-05	6.53E-05	2.32E-05	0	0	0.000296971	8.74E-05	7.10E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Salinibacterium	0	0	0	0	0	0	2.47E-05	2.18E-05	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;Other	0	9.23E-05	0.000108916	6.95E-05	0	0	0	4.37E-05	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Pilimelia	0	0	6.53E-05	2.32E-05	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium	0.002070658	0.004799705	0.004661598	0.01248639	0.002379567	0.005873123	0.004009107	0.007927149	0.013484741
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;Other	0	0	0	4.63E-05	0	4.48E-05	2.47E-05	2.18E-05	0.000165602
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Nocardia	2.56E-05	0	2.18E-05	0	0	0	0	0	2.37E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiopsaceae;g__	7.67E-05	0	0.000108916	0.000301156	0	6.72E-05	0	6.55E-05	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__	0	0	0	0	0	0	0.000123738	0	2.37E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Pseudonocardia	0	4.62E-05	0	0	0	0	0	6.55E-05	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;Other	5.11E-05	0	0	2.32E-05	0	4.48E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Thermomonosporaceae;Other	0	0	2.18E-05	2.32E-05	0	0	0	2.18E-05	0.000141945
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Yaniellaceae;Other	0	0	0	4.63E-05	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Yaniellaceae;g__Yaniella	0.000127818	0	6.53E-05	0.000115829	0	8.97E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__OPB41;o__;f__;g__	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__;g__	2.56E-05	0.000276906	0	6.95E-05	5.29E-05	2.24E-05	0.000123738	0	9.46E-05
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__	0.000613528	0.000507661	0.000196049	0.000625478	0.000132198	6.72E-05	0.000346466	0.000152865	0.000331204
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;Other;Other	0.000562401	9.23E-05	0	0.000115829	5.29E-05	0.000112082	0.000519699	0.000349406	0.000141945
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__	0.001022547	0.000507661	0.000174265	0.000532814	0.000396595	0.000493163	0.000494951	0.001157407	0.000449491
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;Other	7.67E-05	0	0	0	5.29E-05	0	0	2.18E-05	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__	0.000178946	0.000692265	0.000174265	0.000486483	0.000317276	0.000246581	0.000296971	0.000393082	0.000638751
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__Conexibacter	0.000255637	4.62E-05	2.18E-05	6.95E-05	0.000105759	0	0.000247476	0.000327568	4.73E-05
k__Bacteria;p__Armatimonadetes;Other;Other;Other;Other	0	0	0	0	0	0	4.95E-05	0	0
k__Bacteria;p__Armatimonadetes;c__0319-6E2;o__;f__;g__	5.11E-05	0.00046151	0	0.000162161	0.000502353	4.48E-05	0.000123738	0	0.000118287
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;Other;Other;Other	7.67E-05	0.000184604	0	4.63E-05	5.29E-05	6.72E-05	0	8.74E-05	2.37E-05
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__	0	0	0	0	0	0	9.90E-05	0	0
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__FW68;f__;g__	0.000945856	0.000692265	0.000130699	0.000324322	0.000502353	0.000560412	0.000668185	0.001157407	0.000449491
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;Other;Other	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__	0.000536837	0.000507661	0.000174265	0.00055598	0.000132198	0.00038108	0.000123738	0	0.000354862
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__SJA-22;f__;g__	0.000178946	9.23E-05	6.53E-05	0.000254824	0.000370155	0.000403497	0.000395961	6.55E-05	0.000141945
k__Bacteria;p__Armatimonadetes;c__OPB50;o__;f__;g__	5.11E-05	9.23E-05	0	0	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__SJA-176;o__RB046;f__;g__	0	0	0	0	0.000105759	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__;g__	0	0	0	4.63E-05	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae];Other	0.001354875	0.000184604	0.000174265	0.00027799	0.000317276	0.000358664	0.000519699	0.000393082	0.000141945
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae];g__	0	0	4.36E-05	4.63E-05	2.64E-05	6.72E-05	4.95E-05	2.18E-05	0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae];g__Fimbriimonas	0.002454113	0.001615285	0.000326748	0.0009498	0.000660991	0.001053575	0.001212631	0.001987247	0.001277502
k__Bacteria;p__BHI80-139;c__;o__;f__;g__	2.56E-05	0	0	0	0	0	2.47E-05	6.55E-05	0
k__Bacteria;p__BRC1;c__PRR-11;o__;f__;g__	0	0	0	0	0	0	4.95E-05	0	0
k__Bacteria;p__Bacteroidetes;Other;Other;Other;Other	5.11E-05	9.23E-05	0.000108916	4.63E-05	0.000211517	0.000224165	0.000296971	0.000371244	4.73E-05
k__Bacteria;p__Bacteroidetes;c__At12OctB3;o__;f__;g__	0	0.000184604	2.18E-05	6.95E-05	0	6.72E-05	0	0	7.10E-05
